Food_Id,Calories,Total_Fat_DV,Sat_Fat_DV,Trans_Fat,Cholesterol_DV,Sodium_DV,Carbs_DV,Fiber_DV,Total_Sugars (g),Added_Sugars_DV,Protein (g),Vitamin_D_DV,Calcium_DV,Iron_DV,Potassium_DV,Healthy(0)/Unhealthy(1)/In Moderation(2)
35,36,1,0,0,0,1,3,9,1.6,0,2.5,0,7,7,6,0
36,41,0,0,0,0,0,3,5,4.4,0,1.3,0,2,1,3,0
37,22,0,0,0,0,0,2,5,3.2,0,1.1,0,1,2,6,0
38,64,1,0,0,0,3,5,24,1.2,0,3.5,0,2,4,7,0
39,60,1,1,0,0,2,4,16,2.9,0,4.3,0,5,11,11,0
40,17,0,0,0,0,0,1,5,2.1,0,1,0,3,1,3,0
41,6,0,0,0,0,1,0,2,0.5,0,0.3,0,1,0,2,0
42,198,2,1,0,0,0,18,50,18,0,4.7,0,3,8,15,0
43,38,0,0,0,0,1,3,4,2.6,0,1,0,3,8,2,0
44,16,0,0,0,0,0,1,7,1.1,0,1.2,0,2,5,5,0
45,17,0,0,0,0,0,1,5,1.4,0,1.3,1,0,6,5,0
46,8.6,0,0,0,0,1,1,3,1,0,0.4,0,1,1,3,0
47,41,1,1,0,0,0,2,7,4.5,0,1.9,0,3,4,7,0
48,35,0,0,0,0,14,3,12,1.9,0,3.3,0,8,22,20,0
49,63,2,0,0,0,1,4,27,0.8,0,5.1,0,21,12,5,0
50,26,0,0,0,0,1,2,9,3.6,0,0.9,0,3,1,5,0
51,30,1,1,0,0,0,2,7,3.4,0,2.3,0,3,4,11,0
52,179,13,16,0,17,2,0,0,0,0,20,0,2,1,8,0
53,175,13,6,0,40,11,0,0,0,0,3,3,4,2,1,0
54,126,2,1,0,19,44,2,0,0,0,22,0,6,13,11,2
55,82,3,3,0,17,5,2,0,0,0,9.4,0,1,26,3,0
56,84,2,2,0,51,29,0,0,0,0,15.4,1,5,2,3,2
57,236,14,9,0,31,4,0,0,0,0,34,0,5,13,12,0
58,148,1,1,0,18,3,0,0,0,0,33.3,11,0,6,13,2
59,109,1,1,0,0,0,8,6,0,0,2.3,0,1,3,2,0
60,153,3,2,0,0,0,10,15,0.4,0,5.3,0,2,9,3,0
61,111,2,1,0,0,0,7,9,0,0,4.1,0,1,8,3,0
62,81,1,1,0,0,6,5,7,1.4,0,4,0,4,4,2,0
63,0,0,0,0,0,0,4,14,4.5,0,2.4,0,4,5,4,0
64,225,1,1,0,0,0,15,39,0.6,0,15,0,5,22,15,0
65,230,1,1,0,0,0,15,57,3.6,0,18,0,3,37,16,0
66,161,18,9,0,0,0,2,9,1.3,0,7.3,0,2,7,4,0
67,212,21,50,0,17,4,0,0,0,0,14.5,0,37,0,1,2
68,102,3,8,0,4,5,4,0,13,0,8.2,14,23,0,8,0
69,107,3,9,0,3,5,4,0,12,0,8.9,0,24,1,8,0
70,119,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0
71,121,17,55,0,0,0,0,0,0,0,0,0,0,0,0,2
72,161,0,0,0,0,1,13,14,2,0,4.3,0,2,11,20,2
73,103,0,0,0,0,2,9,14,7.4,0,2.3,0,3,4,12,2
74,3.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
75,155,11,27,0,1,0,6,7,14,0,1.4,0,1,13,3,2
76,263,31,23,0.3,0,17,2,4,4,0,6.2,0,15,2,8,2
